Wavenumber, 11301_2-16.SPA, 11302_2-16.SPA, 11303_2-16.SPA, 113121_2-22.SPA, 113122_2-22.SPA, 113123_2-22.SPA, 113151_2-22.SPA, 113152_2-22.SPA, 113153_2-22.SPA, 113181_2-22.SPA, 113182_2-22.SPA, 113183_2-22.SPA, 113241_2-22.SPA, 113242_2-22.SPA, 113243_2-22.SPA, 113301_2-22.SPA, 113302_2-22.SPA, 113303_2-22.SPA, 11331_2-16.SPA, 11332_2-16.SPA, 11333_2-16.SPA, 113361_2-22.SPA, 113362_2-22.SPA, 113363_2-22.SPA, 11361_2-16.SPA, 11362_2-16.SPA, 11363_2-16.SPA, 11391_2-22.SPA, 11392_2-22.SPA, 11393_2-22.SPA
1757.75, 97.4281, 97.6551, 97.2414, 98.207, 98.6642, 98.4626, 98.5478, 98.5266, 98.6099, 98.6484, 98.2101, 98.3821, 98.5277, 98.6452, 98.7219, 98.4782, 98.5947, 98.5111, 97.6373, 97.3876, 97.7205, 98.4334, 98.3687, 98.6945, 99.6491, 98.1381, 98.0337, 98.449, 100.294, 97.9268
1757.69, 97.4515, 97.6824, 97.2445, 98.2049, 98.6623, 98.4572, 98.5381, 98.5465, 98.6086, 98.6573, 98.1921, 98.4126, 98.5376, 98.6234, 98.7269, 98.4966, 98.6192, 98.5162, 97.649, 97.3872, 97.7229, 98.4517, 98.3355, 98.6962, 99.6398, 98.14, 98.0346, 98.4651, 100.3, 97.9432
1757.63, 97.4819, 97.707, 97.2513, 98.2059, 98.6553, 98.4574, 98.5368, 98.5678, 98.6045, 98.6704, 98.1749, 98.4375, 98.5459, 98.6088, 98.7294, 98.5275, 98.6412, 98.5346, 97.6631, 97.39, 97.7316, 98.4629, 98.3059, 98.6971, 99.627, 98.1422, 98.0433, 98.4843, 100.306, 97.9531
1757.57, 97.5172, 97.7288, 97.2627, 98.2105, 98.6462, 98.4627, 98.5437, 98.5883, 98.5996, 98.6855, 98.1604, 98.4557, 98.5516, 98.6027, 98.7304, 98.569, 98.6575, 98.5617, 97.6777, 97.3954, 97.747, 98.4661, 98.2837, 98.6987, 99.6129, 98.1409, 98.0578, 98.5051, 100.312, 97.9552
1757.51, 97.5553, 97.7477, 97.278, 98.2184, 98.639, 98.4708, 98.5567, 98.6061, 98.5957, 98.6995, 98.1511, 98.4672, 98.5541, 98.6046, 98.7312, 98.6179, 98.6664, 98.5912, 97.6912, 97.4023, 97.769, 98.4607, 98.2718, 98.7024, 99.5992, 98.1339, 98.0752, 98.5242, 100.316, 97.9501
1757.45, 97.5946, 97.7631, 97.2942, 98.2292, 98.6375, 98.4782, 98.5719, 98.6205, 98.5943, 98.7086, 98.1488, 98.4729, 98.554, 98.613, 98.7335, 98.671, 98.668, 98.6163, 97.7032, 97.4098, 97.7961, 98.4473, 98.271, 98.7085, 99.5872, 98.1206, 98.0924, 98.5383, 100.321, 97.9395
1757.39, 97.6335, 97.7738, 97.3077, 98.2416, 98.6444, 98.4816, 98.5849, 98.6308, 98.5957, 98.7096, 98.1546, 98.4737, 98.5526, 98.6253, 98.7384, 98.725, 98.663, 98.6318, 97.7147, 97.4177, 97.8262, 98.4275, 98.2806, 98.7169, 99.5774, 98.1024, 98.1069, 98.5448, 100.329, 97.9258
1757.33, 97.6708, 97.7788, 97.3155, 98.254, 98.6601, 98.479, 98.592, 98.6369, 98.5999, 98.7009, 98.1678, 98.4708, 98.5511, 98.6388, 98.7467, 98.7764, 98.6529, 98.635, 97.7274, 97.4268, 97.8561, 98.4048, 98.2986, 98.7266, 99.57, 98.0816, 98.1179, 98.5428, 100.34, 97.9115
1757.27, 97.7052, 97.7772, 97.3158, 98.2649, 98.6826, 98.4702, 98.5914, 98.639, 98.6055, 98.6828, 98.1868, 98.4652, 98.5505, 98.6513, 98.7582, 98.8218, 98.6392, 98.6261, 97.7438, 97.4387, 97.8833, 98.3833, 98.3226, 98.7362, 99.565, 98.0611, 98.1259, 98.5338, 100.356, 97.8984
1757.21, 97.7358, 97.7691, 97.309, 98.2727, 98.7082, 98.4567, 98.5836, 98.6376, 98.6111, 98.6581, 98.2086, 98.4578, 98.5509, 98.6614, 98.7719, 98.8577, 98.6231, 98.6081, 97.7652, 97.4552, 97.9057, 98.3674, 98.3505, 98.7443, 99.5626, 98.0431, 98.1325, 98.5214, 100.373, 97.8872
1757.15, 97.7614, 97.7557, 97.297, 98.2765, 98.7321, 98.4413, 98.571, 98.6336, 98.615, 98.6309, 98.2296, 98.4497, 98.5518, 98.6684, 98.786, 98.8807, 98.6061, 98.5854, 97.7919, 97.4772, 97.9233, 98.3602, 98.3807, 98.75, 99.5625, 98.0289, 98.1395, 98.5098, 100.388, 97.878
1757.09, 97.7813, 97.7387, 97.2831, 98.2757, 98.7494, 98.4267, 98.5576, 98.6282, 98.6158, 98.6056, 98.247, 98.442, 98.5524, 98.6726, 98.7984, 98.8885, 98.5898, 98.563, 97.8224, 97.5046, 97.9376, 98.3629, 98.4118, 98.7527, 99.5642, 98.0185, 98.1481, 98.5027, 100.396, 97.8705
