Wavenumber, 11301_2-16.SPA, 113121_2-22.SPA, 113151_2-22.SPA, 113181_2-22.SPA, 113241_2-22.SPA, 113301_2-22.SPA, 11331_2-16.SPA, 113361_2-22.SPA, 11361_2-16.SPA, 11391_2-22.SPA
1800.36, 97.678, 98.2768, 98.5274, 98.4676, 98.6423, 98.5357, 97.9545, 98.4302, 98.2598, 98.5947
1800.3, 97.6581, 98.2788, 98.5259, 98.4724, 98.6469, 98.5392, 97.9352, 98.425, 98.2716, 98.5933
1800.24, 97.6397, 98.2813, 98.5231, 98.4711, 98.6494, 98.5444, 97.916, 98.4219, 98.2833, 98.5926
1800.18, 97.623, 98.2835, 98.5182, 98.4645, 98.6503, 98.55, 97.8987, 98.4223, 98.2928, 98.5917
1800.12, 97.6084, 98.2847, 98.5111, 98.4543, 98.6504, 98.5547, 97.8848, 98.426, 98.2984, 98.5899
1800.06, 97.5962, 98.2844, 98.5028, 98.4426, 98.6504, 98.5569, 97.8749, 98.4318, 98.2991, 98.5863
1800, 97.5866, 98.2828, 98.4948, 98.4313, 98.6503, 98.5554, 97.8692, 98.4375, 98.2947, 98.5802
1799.94, 97.5794, 98.2802, 98.489, 98.4219, 98.6498, 98.5497, 97.8665, 98.4411, 98.2859, 98.5713
1799.88, 97.574, 98.2774, 98.4867, 98.4152, 98.6484, 98.54, 97.8652, 98.4409, 98.2737, 98.5594
1799.82, 97.5691, 98.2749, 98.489, 98.4109, 98.6454, 98.5275, 97.8633, 98.4365, 98.2597, 98.5451
1799.76, 97.5637, 98.273, 98.4958, 98.408, 98.6404, 98.5137, 97.8588, 98.4285, 98.2455, 98.5293
1799.7, 97.5567, 98.2716, 98.5064, 98.4049, 98.6335, 98.5004, 97.8498, 98.4187, 98.2324, 98.5134
1799.64, 97.5477, 98.2704, 98.5197, 98.4004, 98.6251, 98.4887, 97.8357, 98.4092, 98.2213, 98.4988
1799.58, 97.5372, 98.2689, 98.5343, 98.3934, 98.6161, 98.4791, 97.8163, 98.4023, 98.2124, 98.4868
1799.52, 97.5262, 98.267, 98.5489, 98.3839, 98.6076, 98.4711, 97.7926, 98.3992, 98.2052, 98.4782
1799.46, 97.5158, 98.265, 98.5624, 98.3726, 98.6003, 98.4633, 97.7661, 98.4001, 98.1987, 98.4729
1799.4, 97.5071, 98.2635, 98.5741, 98.3611, 98.5948, 98.4543, 97.7383, 98.404, 98.1918, 98.4699
1799.34, 97.5002, 98.263, 98.583, 98.3512, 98.5909, 98.4431, 97.7111, 98.409, 98.1835, 98.4681
1799.28, 97.4948, 98.2637, 98.5883, 98.3442, 98.5881, 98.4297, 97.686, 98.4129, 98.1736, 98.466
1799.22, 97.4897, 98.2651, 98.5892, 98.3406, 98.5859, 98.4151, 97.6642, 98.4138, 98.1622, 98.4628
1799.16, 97.4839, 98.2658, 98.5852, 98.34, 98.5835, 98.4013, 97.6466, 98.411, 98.1501, 98.4585
1799.09, 97.4763, 98.2646, 98.5766, 98.341, 98.5809, 98.3908, 97.6338, 98.4049, 98.1379, 98.4541
1799.03, 97.4662, 98.2601, 98.5644, 98.342, 98.5781, 98.386, 97.6259, 98.3969, 98.1266, 98.451
1798.97, 97.4536, 98.2517, 98.5503, 98.3415, 98.5756, 98.3882, 97.6225, 98.3891, 98.1161, 98.4508
1798.91, 97.4388, 98.24, 98.5369, 98.339, 98.5737, 98.3979, 97.6226, 98.3836, 98.1065, 98.455
1798.85, 97.4219, 98.2264, 98.5267, 98.3348, 98.5729, 98.4138, 97.625, 98.3819, 98.0971, 98.464
1798.79, 97.403, 98.2128, 98.5215, 98.3303, 98.5729, 98.434, 97.628, 98.3845, 98.0872, 98.4775
1798.73, 97.382, 98.201, 98.5219, 98.3267, 98.5731, 98.4558, 97.6297, 98.3908, 98.0763, 98.4943
1798.67, 97.3584, 98.1921, 98.5273, 98.3251, 98.5725, 98.4763, 97.6288, 98.3994, 98.0645, 98.513
1798.61, 97.3319, 98.1866, 98.5355, 98.3259, 98.5705, 98.4931, 97.6244, 98.4086, 98.0524, 98.5316
1798.55, 97.3028, 98.1838, 98.5439, 98.3284, 98.5663, 98.5042, 97.6162, 98.4166, 98.0413, 98.5485
1798.49, 97.2718, 98.1831, 98.5495, 98.3314, 98.5602, 98.5086, 97.6043, 98.4225, 98.0328, 98.5618
1798.43, 97.2399, 98.1834, 98.55, 98.3337, 98.5528, 98.5057, 97.5891, 98.4257, 98.0285, 98.5704
1798.37, 97.2085, 98.1842, 98.5443, 98.3345, 98.5453, 98.4962, 97.5713, 98.4264, 98.0296, 98.5729
1798.31, 97.1791, 98.1849, 98.5324, 98.3336, 98.5388, 98.4813, 97.5514, 98.4251, 98.0362, 98.5685
1798.25, 97.1525, 98.1854, 98.5157, 98.3319, 98.5342, 98.4629, 97.5299, 98.4226, 98.047, 98.5572
1798.19, 97.1295, 98.1855, 98.4961, 98.3306, 98.5319, 98.4436, 97.507, 98.4193, 98.0595, 98.5395
1798.13, 97.1104, 98.1849, 98.4757, 98.3305, 98.5317, 98.426, 97.4833, 98.4156, 98.0703, 98.5168
1798.07, 97.0949, 98.1832, 98.4563, 98.3324, 98.5333, 98.4125, 97.4592, 98.4118, 98.0763, 98.4916
