Wavenumber, 13001_2-22.SPA, 13002_2-22.SPA, 13003_2-22.SPA, 13011_2-22.SPA, 13012_2-22.SPA, 13013_2-22.SPA, 13021_2-22.SPA, 13022_2-22.SPA, 13023_2-22.SPA, 13031_2-22.SPA, 13032_2-22.SPA, 13033_2-22.SPA, 13051_2-22.SPA, 13052_2-22.SPA, 13053_2-22.SPA, 13071_2-22.SPA, 13072_2-22.SPA, 13073_2-22.SPA, 13091_2-22.SPA, 13092_2-22.SPA, 13093_2-22.SPA
1802.47, 98.0703, 98.279, 98.1122, 97.9909, 98.1942, 97.5795, 98.4627, 98.218, 98.1827, 98.2901, 98.2901, 98.6946, 98.6868, 98.4121, 98.0683, 98.479, 98.5424, 98.6815, 98.4048, 98.4607, 98.5552
1802.41, 98.085, 98.2648, 98.1049, 98.0025, 98.2022, 97.565, 98.4642, 98.2101, 98.1847, 98.3022, 98.3022, 98.6943, 98.6761, 98.4072, 98.0451, 98.4627, 98.5457, 98.6586, 98.3857, 98.4673, 98.5701
1802.35, 98.0943, 98.2557, 98.0978, 98.0178, 98.2054, 97.5545, 98.4628, 98.2021, 98.1858, 98.3097, 98.3097, 98.683, 98.6723, 98.4037, 98.0283, 98.4492, 98.5475, 98.6363, 98.3764, 98.4757, 98.5808
1802.29, 98.098, 98.252, 98.0911, 98.035, 98.2026, 97.5475, 98.4575, 98.1936, 98.1841, 98.3136, 98.3136, 98.6641, 98.676, 98.4023, 98.02, 98.4413, 98.5485, 98.615, 98.3784, 98.4853, 98.5857
1802.23, 98.0965, 98.2535, 98.0841, 98.052, 98.1938, 97.5432, 98.4479, 98.1854, 98.1781, 98.3158, 98.3158, 98.6423, 98.6867, 98.4037, 98.0212, 98.4411, 98.5495, 98.5953, 98.3909, 98.4953, 98.5846
1802.17, 98.0908, 98.2598, 98.0747, 98.0667, 98.1803, 97.5404, 98.4344, 98.1789, 98.1673, 98.3174, 98.3174, 98.6221, 98.7029, 98.4083, 98.0312, 98.4492, 98.5509, 98.578, 98.4113, 98.5049, 98.5777
1802.11, 98.0813, 98.2707, 98.0608, 98.0769, 98.1644, 97.5378, 98.4184, 98.1757, 98.1526, 98.3186, 98.3186, 98.6061, 98.7224, 98.4161, 98.0481, 98.4643, 98.5526, 98.5645, 98.4358, 98.5134, 98.5661
1802.05, 98.0687, 98.2856, 98.0405, 98.0808, 98.1487, 97.5344, 98.4017, 98.1773, 98.1361, 98.319, 98.319, 98.5943, 98.7422, 98.4263, 98.0689, 98.4841, 98.5537, 98.5565, 98.4605, 98.5202, 98.5509
1801.99, 98.0537, 98.3037, 98.0134, 98.0774, 98.1355, 97.5296, 98.3863, 98.1847, 98.12, 98.3174, 98.3174, 98.5846, 98.7597, 98.4375, 98.0903, 98.5049, 98.5527, 98.5554, 98.4818, 98.5257, 98.5334
1801.93, 98.0377, 98.3232, 97.9803, 98.067, 98.1264, 97.5233, 98.3738, 98.1977, 98.1064, 98.3131, 98.3131, 98.5737, 98.7733, 98.4475, 98.1087, 98.5228, 98.5477, 98.5617, 98.4973, 98.5303, 98.5145
1801.87, 98.0224, 98.3418, 97.9438, 98.0508, 98.1216, 97.5158, 98.3646, 98.2158, 98.0962, 98.306, 98.306, 98.5585, 98.7823, 98.4535, 98.1208, 98.5341, 98.5372, 98.5746, 98.5063, 98.5349, 98.4946
1801.81, 98.0098, 98.3566, 97.9076, 98.0312, 98.1201, 97.5076, 98.3582, 98.2375, 98.0898, 98.2967, 98.2967, 98.5373, 98.7871, 98.453, 98.1242, 98.5361, 98.5208, 98.5916, 98.509, 98.5399, 98.4738
1801.75, 98.0015, 98.3648, 97.8757, 98.0105, 98.1202, 97.499, 98.3532, 98.2616, 98.0865, 98.2867, 98.2867, 98.5105, 98.7892, 98.4439, 98.1181, 98.5273, 98.4992, 98.6088, 98.5067, 98.5459, 98.4519
1801.69, 97.9978, 98.3645, 97.8516, 97.9911, 98.1199, 97.4901, 98.3475, 98.2867, 98.0856, 98.2777, 98.2777, 98.4799, 98.7903, 98.4257, 98.1036, 98.5078, 98.4748, 98.6218, 98.5003, 98.5524, 98.4291
1801.63, 97.9974, 98.3548, 97.8377, 97.9743, 98.1181, 97.4806, 98.3394, 98.3118, 98.0864, 98.2711, 98.2711, 98.449, 98.7919, 98.3991, 98.0838, 98.4794, 98.4506, 98.6267, 98.4907, 98.5587, 98.4058
1801.57, 97.9972, 98.3366, 97.8346, 97.9602, 98.1148, 97.4707, 98.3284, 98.3356, 98.0887, 98.2678, 98.2678, 98.4211, 98.7953, 98.3665, 98.0639, 98.4453, 98.43, 98.6209, 98.4782, 98.5638, 98.3837
1801.51, 97.9931, 98.3118, 97.841, 97.9478, 98.1113, 97.4605, 98.3151, 98.3572, 98.0927, 98.268, 98.268, 98.3995, 98.8015, 98.3313, 98.0498, 98.4099, 98.4155, 98.6044, 98.4627, 98.5667, 98.3652
1801.45, 97.9813, 98.2835, 97.8543, 97.9357, 98.1096, 97.4512, 98.3016, 98.3753, 98.0987, 98.2709, 98.2709, 98.3864, 98.8108, 98.297, 98.0468, 98.3777, 98.4084, 98.5791, 98.4447, 98.5663, 98.3539
1801.39, 97.9596, 98.2547, 97.8711, 97.9221, 98.1117, 97.4445, 98.2912, 98.3889, 98.1066, 98.2755, 98.2755, 98.3832, 98.8228, 98.2669, 98.0583, 98.3527, 98.4083, 98.5488, 98.4255, 98.5625, 98.3529
1801.32, 97.9277, 98.2282, 97.8874, 97.9057, 98.1186, 97.4427, 98.2873, 98.3971, 98.1156, 98.2803, 98.2803, 98.39, 98.8365, 98.2433, 98.0845, 98.338, 98.4139, 98.5187, 98.4073, 98.5552, 98.3651
1801.26, 97.8882, 98.2062, 97.9004, 97.8863, 98.1297, 97.4476, 98.2924, 98.3992, 98.1245, 98.284, 98.284, 98.4055, 98.8502, 98.2277, 98.1221, 98.3343, 98.4233, 98.4935, 98.3933, 98.545, 98.3914
1801.2, 97.8456, 98.1897, 97.908, 97.8642, 98.1428, 97.4598, 98.3071, 98.3957, 98.1317, 98.2861, 98.2861, 98.4271, 98.8617, 98.2206, 98.165, 98.3406, 98.4348, 98.4774, 98.3863, 98.5327, 98.4305
1801.14, 97.8052, 98.179, 97.9096, 97.8409, 98.1545, 97.4786, 98.3298, 98.3874, 98.1353, 98.2865, 98.2865, 98.451, 98.8692, 98.2222, 98.2059, 98.3543, 98.447, 98.4729, 98.3887, 98.5192, 98.4787
1801.08, 97.7724, 98.1736, 97.9062, 97.8178, 98.1609, 97.5012, 98.357, 98.3754, 98.1338, 98.2862, 98.2862, 98.4729, 98.8714, 98.2324, 98.2375, 98.3719, 98.4589, 98.4808, 98.4008, 98.5057, 98.5303
1801.02, 97.7515, 98.172, 97.8992, 97.7962, 98.1591, 97.5236, 98.3837, 98.361, 98.1263, 98.2865, 98.2865, 98.4889, 98.8682, 98.2508, 98.2549, 98.3897, 98.4698, 98.5005, 98.4212, 98.493, 98.5785
1800.96, 97.7448, 98.1725, 97.8906, 97.7771, 98.1473, 97.5413, 98.4048, 98.3448, 98.1127, 98.2887, 98.2887, 98.4966, 98.861, 98.2766, 98.2559, 98.4047, 98.4786, 98.5298, 98.4469, 98.4819, 98.6169
