Wavenumber, 9701_3-1.SPA, 971051_3-1.SPA, 97151_3-1.SPA, 97301_3-1.SPA, 97451_3-1.SPA, 97601_3-1.SPA, 97751_3-1.SPA, 97901_3-1.SPA
1800.36, 97.7145, 98.3451, 97.8073, 98.0958, 98.1373, 98.1896, 98.2216, 98.2663
1800.3, 97.7043, 98.349, 97.8011, 98.0884, 98.1398, 98.1775, 98.222, 98.2651
1800.24, 97.6977, 98.3525, 97.793, 98.0813, 98.1449, 98.1651, 98.2228, 98.2663
1800.18, 97.6935, 98.3549, 97.7828, 98.0752, 98.1504, 98.1546, 98.2235, 98.2697
1800.12, 97.6902, 98.3558, 97.7703, 98.0701, 98.1541, 98.1479, 98.2238, 98.2754
1800.06, 97.6865, 98.355, 97.7556, 98.0657, 98.1542, 98.1455, 98.2234, 98.2832
1800, 97.6809, 98.3526, 97.7386, 98.061, 98.1497, 98.1469, 98.2222, 98.2926
1799.94, 97.6728, 98.3491, 97.7195, 98.0557, 98.1407, 98.1503, 98.2202, 98.303
1799.88, 97.6615, 98.3451, 97.6983, 98.0494, 98.1283, 98.1538, 98.2175, 98.3131
1799.82, 97.6474, 98.3411, 97.6752, 98.0428, 98.1143, 98.1552, 98.2145, 98.3218
1799.76, 97.6309, 98.338, 97.6507, 98.0368, 98.1003, 98.1531, 98.212, 98.3276
1799.7, 97.6128, 98.3361, 97.6257, 98.0323, 98.0879, 98.1469, 98.2105, 98.3296
1799.64, 97.5941, 98.3362, 97.6012, 98.0295, 98.0777, 98.1369, 98.2106, 98.327
1799.58, 97.5757, 98.3384, 97.5783, 98.0276, 98.07, 98.124, 98.2122, 98.3197
1799.52, 97.5583, 98.3431, 97.558, 98.0249, 98.0646, 98.1093, 98.2145, 98.3084
1799.46, 97.5424, 98.3503, 97.5409, 98.0194, 98.0612, 98.0941, 98.2163, 98.2944
1799.4, 97.5283, 98.3597, 97.5275, 98.0093, 98.0594, 98.0795, 98.2162, 98.2792
1799.34, 97.5156, 98.3711, 97.5178, 97.9942, 98.0589, 98.0663, 98.2134, 98.2646
1799.28, 97.5041, 98.3836, 97.5119, 97.9749, 98.0591, 98.0553, 98.2075, 98.2522
1799.22, 97.4931, 98.3963, 97.5096, 97.9536, 98.0589, 98.0472, 98.199, 98.2428
1799.16, 97.482, 98.4077, 97.5104, 97.9331, 98.0566, 98.0423, 98.1891, 98.2367
1799.09, 97.4702, 98.4163, 97.5135, 97.9159, 98.0508, 98.0407, 98.1789, 98.2333
1799.03, 97.4576, 98.4207, 97.5177, 97.9037, 98.04, 98.0423, 98.1696, 98.232
1798.97, 97.4442, 98.4198, 97.5215, 97.8967, 98.024, 98.0463, 98.1615, 98.2316
1798.91, 97.4305, 98.413, 97.523, 97.8938, 98.0037, 98.0517, 98.1548, 98.2318
1798.85, 97.417, 98.4007, 97.5208, 97.8932, 97.981, 98.0576, 98.1489, 98.232
1798.79, 97.4044, 98.384, 97.5142, 97.8929, 97.9584, 98.0628, 98.1429, 98.2325
1798.73, 97.3929, 98.3651, 97.5032, 97.8912, 97.9383, 98.067, 98.1363, 98.2329
1798.67, 97.3821, 98.3462, 97.489, 97.8872, 97.9221, 98.07, 98.1283, 98.2331
1798.61, 97.371, 98.3299, 97.4731, 97.8806, 97.9103, 98.0719, 98.119, 98.2322
1798.55, 97.3583, 98.3182, 97.4576, 97.8717, 97.9023, 98.0732, 98.1086, 98.2292
1798.49, 97.3423, 98.3124, 97.4437, 97.8608, 97.897, 98.0743, 98.0981, 98.2231
1798.43, 97.3217, 98.3128, 97.4324, 97.8482, 97.8935, 98.075, 98.0889, 98.2136
1798.37, 97.2958, 98.3184, 97.4238, 97.8343, 97.8912, 98.075, 98.0829, 98.2013
1798.31, 97.2648, 98.3278, 97.4173, 97.8191, 97.8898, 98.0737, 98.0819, 98.1873
1798.25, 97.2296, 98.3385, 97.412, 97.8029, 97.8892, 98.07, 98.0871, 98.1737
1798.19, 97.1921, 98.3485, 97.4073, 97.7858, 97.889, 98.0633, 98.0985, 98.1622
1798.13, 97.1545, 98.3559, 97.4023, 97.768, 97.8883, 98.053, 98.1147, 98.1541
1798.07, 97.1189, 98.3593, 97.3967, 97.7495, 97.8858, 98.0393, 98.1328, 98.1497
1798.01, 97.0872, 98.3585, 97.3901, 97.7307, 97.8801, 98.0228, 98.1492, 98.1486
1797.95, 97.0601, 98.3539, 97.3821, 97.7117, 97.8704, 98.0048, 98.1603, 98.1498
1797.89, 97.0376, 98.3466, 97.3723, 97.6927, 97.8568, 97.9868, 98.1638, 98.152
1797.83, 97.0188, 98.3377, 97.3605, 97.6742, 97.8408, 97.9703, 98.1596, 98.1544
1797.77, 97.0021, 98.3283, 97.3463, 97.6566, 97.8243, 97.9566, 98.1494, 98.1566
1797.71, 96.986, 98.3188, 97.3297, 97.6403, 97.81, 97.9462, 98.1363, 98.1586
1797.65, 96.9694, 98.3091, 97.3109, 97.6257, 97.7996, 97.9389, 98.1241, 98.1604
1797.59, 96.9516, 98.2985, 97.2899, 97.6129, 97.7941, 97.9338, 98.1158, 98.1617
1797.53, 96.9327, 98.2864, 97.2668, 97.602, 97.7933, 97.9294, 98.1129, 98.1622
1797.47, 96.9135, 98.2723, 97.2415, 97.5932, 97.796, 97.9243, 98.115, 98.1611
1797.41, 96.8947, 98.2567, 97.2137, 97.5867, 97.8006, 97.9174, 98.1205, 98.1579
1797.35, 96.8767, 98.2403, 97.1833, 97.5825, 97.8056, 97.9084, 98.1269, 98.1522
1797.29, 96.8593, 98.2249, 97.1506, 97.5806, 97.8096, 97.8977, 98.132, 98.1444
1797.23, 96.8417, 98.2119, 97.1166, 97.5806, 97.8116, 97.8864, 98.1342, 98.1353
1797.17, 96.8228, 98.2027, 97.0824, 97.5811, 97.8111, 97.8758, 98.1331, 98.1259
1797.11, 96.8015, 98.1974, 97.0499, 97.5803, 97.8077, 97.8671, 98.1289, 98.1172
1797.05, 96.777, 98.1953, 97.0204, 97.576, 97.8012, 97.8608, 98.1224, 98.1098
1796.99, 96.7495, 98.1946, 96.995, 97.5666, 97.7916, 97.8567, 98.1142, 98.1038
1796.93, 96.7198, 98.1931, 96.974, 97.551, 97.7791, 97.8539, 98.1049, 98.0988
1796.86, 96.6887, 98.1888, 96.957, 97.5299, 97.7646, 97.8511, 98.0951, 98.0938
1796.8, 96.657, 98.1805, 96.9431, 97.5052, 97.7491, 97.8474, 98.0851, 98.0879
1796.74, 96.6253, 98.1683, 96.9311, 97.48, 97.7342, 97.8422, 98.0752, 98.08
1796.68, 96.5934, 98.1533, 96.9199, 97.4572, 97.721, 97.8357, 98.0657, 98.0695
1796.62, 96.5611, 98.1378, 96.9086, 97.439, 97.7103, 97.8287, 98.0568, 98.0559
1796.56, 96.528, 98.1241, 96.8965, 97.4259, 97.7023, 97.8221, 98.0485, 98.0395
1796.5, 96.4947, 98.1143, 96.883, 97.417, 97.6967, 97.8169, 98.0401, 98.0209
1796.44, 96.4619, 98.1097, 96.8674, 97.4098, 97.6927, 97.8133, 98.0309, 98.0013
1796.38, 96.431, 98.1104, 96.8492, 97.4021, 97.6892, 97.8112, 98.02, 97.9824
1796.32, 96.4032, 98.1153, 96.828, 97.3918, 97.6852, 97.8099, 98.0065, 97.9659
1796.26, 96.3792, 98.1226, 96.8035, 97.3782, 97.68, 97.8083, 97.9903, 97.9534
1796.2, 96.3588, 98.1303, 96.7762, 97.3619, 97.6731, 97.8057, 97.9714, 97.9461
1796.14, 96.3408, 98.1366, 96.7467, 97.344, 97.6638, 97.8014, 97.9507, 97.9442
1796.08, 96.3233, 98.1401, 96.7163, 97.3259, 97.652, 97.7953, 97.9292, 97.9472
1796.02, 96.3047, 98.1404, 96.6862, 97.3086, 97.6373, 97.7875, 97.9084, 97.9537
1795.96, 96.2836, 98.1379, 96.6576, 97.2921, 97.6199, 97.7787, 97.8898, 97.962
1795.9, 96.2596, 98.1334, 96.6315, 97.2758, 97.6, 97.7693, 97.8749, 97.9704
1795.84, 96.2331, 98.1281, 96.6088, 97.2589, 97.5784, 97.7598, 97.8649, 97.9772
1795.78, 96.2051, 98.1229, 96.5896, 97.2408, 97.556, 97.7506, 97.8603, 97.9815
1795.72, 96.1768, 98.1184, 96.5741, 97.2217, 97.5339, 97.7418, 97.8609, 97.9828
1795.66, 96.149, 98.1149, 96.562, 97.2021, 97.513, 97.7335, 97.8658, 97.981
1795.6, 96.1222, 98.1119, 96.5524, 97.1831, 97.494, 97.7257, 97.8728, 97.9764
1795.54, 96.0962, 98.1087, 96.5441, 97.1653, 97.477, 97.7179, 97.8795, 97.9691
1795.48, 96.0704, 98.1049, 96.5357, 97.1491, 97.4622, 97.71, 97.8836, 97.9595
1795.42, 96.044, 98.1001, 96.5255, 97.1339, 97.4495, 97.7015, 97.8831, 97.9477
1795.36, 96.0165, 98.0944, 96.5121, 97.1188, 97.4387, 97.6921, 97.8773, 97.934
1795.3, 95.9872, 98.0882, 96.4949, 97.1025, 97.4298, 97.6817, 97.8666, 97.9188
1795.24, 95.956, 98.0825, 96.4737, 97.0843, 97.4229, 97.6704, 97.8527, 97.9027
1795.18, 95.923, 98.0782, 96.449, 97.0639, 97.4178, 97.6586, 97.8375, 97.8868
1795.12, 95.8886, 98.0763, 96.4219, 97.0417, 97.4139, 97.6469, 97.8233, 97.8719
1795.06, 95.8531, 98.0773, 96.3931, 97.0186, 97.4104, 97.6359, 97.8116, 97.8591
1795, 95.8171, 98.0814, 96.3633, 96.996, 97.4059, 97.6262, 97.8032, 97.8491
1794.94, 95.7807, 98.0884, 96.3323, 96.975, 97.3993, 97.618, 97.7978, 97.8422
1794.88, 95.7438, 98.0974, 96.2998, 96.9565, 97.3895, 97.6113, 97.7949, 97.8385
1794.82, 95.7057, 98.1073, 96.265, 96.9409, 97.3762, 97.6054, 97.7931, 97.8376
1794.76, 95.6653, 98.1166, 96.2277, 96.9282, 97.3598, 97.5997, 97.7915, 97.8392
1794.7, 95.6217, 98.124, 96.1882, 96.9177, 97.3411, 97.5935, 97.789, 97.843
1794.64, 95.5743, 98.1281, 96.1475, 96.9083, 97.3215, 97.5862, 97.785, 97.8487
1794.57, 95.5236, 98.1278, 96.1073, 96.8988, 97.3019, 97.5772, 97.7793, 97.8561
1794.51, 95.471, 98.1227, 96.0694, 96.8875, 97.2831, 97.5666, 97.7719, 97.8647
1794.45, 95.4191, 98.1127, 96.0353, 96.8734, 97.265, 97.5543, 97.7633, 97.8739
1794.39, 95.3705, 98.0988, 96.0059, 96.8559, 97.247, 97.541, 97.7541, 97.8826
