Wavenumber, 9701_3-1.SPA, 9702_3-1.SPA, 9703_3-1.SPA, 971051_3-1.SPA, 971052_3-1.SPA, 971053_3-1.SPA, 97151_3-1.SPA, 97152_3-1.SPA, 97153_3-1.SPA, 97301_3-1.SPA, 97302_3-1.SPA, 97303_3-1.SPA, 97451_3-1.SPA, 97452_3-1.SPA, 97453_3-1.SPA, 97601_3-1.SPA, 97602_3-1.SPA, 97603_3-1.SPA, 97751_3-1.SPA, 97752_3-1.SPA, 97753_3-1.SPA, 97901_3-1.SPA, 97902_3-1.SPA, 97903_3-1.SPA
1772.64, 92.3619, 91.8403, 91.4397, 97.7308, 97.7342, 97.5253, 93.1832, 93.925, 93.0117, 94.8281, 95.2554, 94.7121, 95.9048, 96.065, 95.7661, 96.523, 96.4818, 96.8843, 96.7493, 97.2438, 97.176, 97.2503, 97.4726, 97.2803
1772.58, 92.248, 91.7355, 91.293, 97.7029, 97.7338, 97.495, 93.1239, 93.8495, 92.9129, 94.7635, 95.1941, 94.6824, 95.8677, 96.0224, 95.7169, 96.4862, 96.4437, 96.8563, 96.706, 97.2332, 97.1562, 97.2392, 97.4588, 97.2568
1772.52, 92.1324, 91.6232, 91.1479, 97.6787, 97.7306, 97.47, 93.0586, 93.7686, 92.8165, 94.7002, 95.1341, 94.6523, 95.8259, 95.9776, 95.6714, 96.4466, 96.4014, 96.8374, 96.6666, 97.2271, 97.131, 97.2274, 97.4504, 97.2295
1772.46, 92.0158, 91.5037, 91.0081, 97.6603, 97.7253, 97.4532, 92.9858, 93.6835, 92.7222, 94.6391, 95.0741, 94.6195, 95.7798, 95.9313, 95.6289, 96.4031, 96.3541, 96.8263, 96.6358, 97.222, 97.1004, 97.2158, 97.4469, 97.1999
1772.4, 91.8977, 91.3789, 90.8768, 97.6477, 97.7195, 97.4466, 92.9051, 93.5964, 92.6292, 94.5812, 95.0112, 94.5812, 95.7302, 95.8835, 95.588, 96.3552, 96.3011, 96.8204, 96.6169, 97.215, 97.0659, 97.2054, 97.4473, 97.1712
1772.34, 91.777, 91.2517, 90.7561, 97.6392, 97.7153, 97.4503, 92.817, 93.5092, 92.5366, 94.5266, 94.9422, 94.5353, 95.6786, 95.834, 95.5472, 96.3042, 96.2426, 96.8161, 96.6107, 97.2049, 97.0302, 97.1962, 97.4501, 97.1473
1772.28, 91.653, 91.1257, 90.6461, 97.6316, 97.7145, 97.4626, 92.7226, 93.4238, 92.4441, 94.4744, 94.8649, 94.4802, 95.6264, 95.7823, 95.5053, 96.2527, 96.18, 96.8096, 96.6148, 97.1919, 96.9967, 97.1878, 97.4534, 97.1318
1772.22, 91.5259, 91.0043, 90.545, 97.6212, 97.7185, 97.4801, 92.6229, 93.3415, 92.3522, 94.4227, 94.7794, 94.4159, 95.5745, 95.7286, 95.4617, 96.2045, 96.1159, 96.7978, 96.6245, 97.1769, 96.9687, 97.1787, 97.4556, 97.1273
1772.16, 91.3975, 90.8895, 90.449, 97.6048, 97.7271, 97.4983, 92.5187, 93.2633, 92.2621, 94.3689, 94.688, 94.3434, 95.5236, 95.6736, 95.4161, 96.1632, 96.0531, 96.7784, 96.6339, 97.1603, 96.9478, 97.1674, 97.4555, 97.1344
1772.1, 91.2703, 90.7816, 90.353, 97.5805, 97.7388, 97.5129, 92.4111, 93.1892, 92.1753, 94.311, 94.5948, 94.265, 95.4734, 95.6187, 95.3686, 96.1316, 95.9948, 96.751, 96.638, 97.1422, 96.9342, 97.1524, 97.4525, 97.1517
1772.03, 91.1474, 90.6785, 90.2524, 97.5483, 97.7509, 97.5202, 92.3014, 93.1187, 92.093, 94.2477, 94.5043, 94.1838, 95.4236, 95.5657, 95.3193, 96.1104, 95.9433, 96.7164, 96.6339, 97.1215, 96.9265, 97.1325, 97.4467, 97.1757
1771.97, 91.0307, 90.5773, 90.1438, 97.5102, 97.7598, 97.5182, 92.1913, 93.0504, 92.0152, 94.1791, 94.4203, 94.103, 95.3737, 95.5159, 95.2683, 96.0975, 95.8999, 96.6768, 96.6218, 97.0972, 96.9226, 97.1076, 97.4383, 97.2021
1771.91, 90.9211, 90.4746, 90.0264, 97.4696, 97.7625, 97.5067, 92.083, 92.9824, 91.941, 94.1067, 94.3447, 94.0248, 95.3236, 95.47, 95.216, 96.0894, 95.8644, 96.6345, 96.6043, 97.0686, 96.9201, 97.0782, 97.428, 97.2263
1771.85, 90.8177, 90.368, 89.9017, 97.431, 97.7573, 97.4872, 91.9789, 92.9128, 91.8688, 94.0325, 94.2773, 93.9503, 95.2734, 95.4278, 95.1631, 96.0812, 95.8356, 96.5924, 96.5844, 97.0366, 96.9173, 97.0452, 97.4159, 97.2444
1771.79, 90.7188, 90.257, 89.7729, 97.3987, 97.7441, 97.4622, 91.881, 92.8401, 91.7962, 93.959, 94.2162, 93.8796, 95.2238, 95.3883, 95.1104, 96.0686, 95.8113, 96.5523, 96.5647, 97.0032, 96.9135, 97.0097, 97.4021, 97.2539
1771.73, 90.6222, 90.1429, 89.6441, 97.3761, 97.7246, 97.4343, 91.7906, 92.7633, 91.7215, 93.8876, 94.159, 93.8113, 95.1757, 95.3498, 95.0593, 96.0489, 95.789, 96.5154, 96.5457, 96.9713, 96.9085, 96.9726, 97.3866, 97.2538
1771.67, 90.5265, 90.028, 89.519, 97.3649, 97.7016, 97.4057, 91.7079, 92.6828, 91.6435, 93.8191, 94.1036, 93.744, 95.1299, 95.3108, 95.0111, 96.0213, 95.7669, 96.4819, 96.5261, 96.9436, 96.9026, 96.9344, 97.3688, 97.2441
1771.61, 90.4311, 89.915, 89.4, 97.3648, 97.6783, 97.3777, 91.6321, 92.5993, 91.5619, 93.753, 94.0489, 93.6763, 95.0875, 95.27, 94.9666, 95.9875, 95.7434, 96.4514, 96.5037, 96.9217, 96.896, 96.8957, 97.3486, 97.2259
1771.55, 90.3364, 89.8054, 89.2881, 97.3733, 97.6567, 97.3505, 91.5612, 92.5139, 91.4778, 93.6887, 93.9952, 93.6075, 95.049, 95.2267, 94.926, 95.9504, 95.7182, 96.4229, 96.4765, 96.9055, 96.8887, 96.8574, 97.3258, 97.2001
1771.49, 90.2433, 89.6999, 89.183, 97.3864, 97.6375, 97.3237, 91.4933, 92.4276, 91.3928, 93.625, 93.9435, 93.5378, 95.0148, 95.1809, 94.8889, 95.9131, 95.6923, 96.3956, 96.4443, 96.8935, 96.8805, 96.8208, 97.3008, 97.168
